ID,Gene,Annotation
NP_001106677,TSTD1,"Chr_19	AUGUSTUS	gene	7623252	7626284	.	-	.	ID=Marm_10626;blast_id=""sp|Q8NFU3|TSTD1_HUMAN"";interproscan_id=""IPR036873"";eggnog_id=""Rhodanese-like_domain"""
NP_001106678,TSTD1,"Chr_19	AUGUSTUS	gene	7623252	7626284	.	-	.	ID=Marm_10626;blast_id=""sp|Q8NFU3|TSTD1_HUMAN"";interproscan_id=""IPR036873"";eggnog_id=""Rhodanese-like_domain"""
NP_001107000,METTL15,"Chr_5	AUGUSTUS	gene	78313272	78324854	.	+	.	ID=Marm_22719;blast_id=""sp|A6NJ78|MET15_HUMAN"";interproscan_id=""IPR002903"";eggnog_id=""methyltransferase-like_protein_15"""
NP_001107656,MTRF1L,"Chr_1	AUGUSTUS	gene	70203745	70219071	.	+	.	ID=Marm_00588;blast_id=""sp|Q9UGC7|RF1ML_HUMAN"";interproscan_id=""IPR005139"";eggnog_id=""release_factor_1-like"""
NP_001108207,BCL2A1,"Chr_16	AUGUSTUS	gene	15948314	15950821	.	+	.	ID=Marm_08794;blast_id=""sp|Q16548|B2LA1_HUMAN"";interproscan_id=""IPR013282"";eggnog_id=""Bcl-2-related_protein_A1"""
NP_001116080,HCCS,"Chr_3	AUGUSTUS	gene	97565065	97581387	.	-	.	ID=Marm_19427;blast_id=""sp|P53701|CCHL_HUMAN"";interproscan_id=""IPR000511"";eggnog_id=""Links_covalently_the_heme_group_to_the_apoprotein_of_cytochrome_c"""
NP_001116105,CPS1,Chr_11	AUGUSTUS	gene	30881378	30901476	.	-	.	ID=Marm_05873;
NP_001116106,CPS1,Chr_11	AUGUSTUS	gene	30881378	30901476	.	-	.	ID=Marm_05873;
NP_001116146,ABCD3,"Chr_7	AUGUSTUS	gene	17751712	17758866	.	+	.	ID=Marm_25700;blast_id=""sp|Q9UBJ2|ABCD2_HUMAN"";interproscan_id=""IPR031239"";eggnog_id=""ATP-binding_cassette_sub-family_D"""
NP_001116236,PPOX,"Chr_19	AUGUSTUS	gene	11961146	11969271	.	-	.	ID=Marm_10710;blast_id=""sp|P50336|PPOX_HUMAN"";interproscan_id=""IPR036188"";eggnog_id=""Catalyzes_the_6-electron_oxidation_of_protoporphyrinogen-IX_to_form_protoporphyrin-IX"""
NP_001116429,BCKDK,"Chr_3	AUGUSTUS	gene	161051775	161072762	.	-	.	ID=Marm_20214;blast_id=""sp|O14874|BCKD_HUMAN"";interproscan_id=""IPR039028"";eggnog_id=""[3-methyl-2-oxobutanoate_dehydrogenase_(acetyl-transferring)]_kinase_activity"""
NP_001116698,MTO1,"Chr_1	AUGUSTUS	gene	109814627	109830026	.	-	.	ID=Marm_02904;blast_id=""sp|Q9Y2Z2|MTO1_HUMAN"";interproscan_id=""IPR002218"";eggnog_id=""Mitochondrial_tRNA_translation_optimization_1"""
NP_001116849,PARK7,"Chr_22	AUGUSTUS	gene	3514434	3518168	.	-	.	ID=Marm_16151;blast_id=""sp|Q99497|PARK7_HUMAN"";interproscan_id=""IPR029062"";eggnog_id=""guanine_deglycation,_methylglyoxal_removal"""
NP_001119593,SLC25A19,"Chr_2	AUGUSTUS	gene	123761954	123768794	.	+	.	ID=Marm_12177;blast_id=""sp|Q9HC21|TPC_HUMAN"";interproscan_id=""IPR023395"";eggnog_id=""mitochondrial_thiamine_pyrophosphate_carrier"""
NP_001119594,SLC25A19,"Chr_2	AUGUSTUS	gene	123761954	123768794	.	+	.	ID=Marm_12177;blast_id=""sp|Q9HC21|TPC_HUMAN"";interproscan_id=""IPR023395"";eggnog_id=""mitochondrial_thiamine_pyrophosphate_carrier"""
NP_001119603,POLG,"Chr_16	AUGUSTUS	gene	16602062	16626295	.	+	.	ID=Marm_08804;blast_id=""sp|P54098|DPOG1_HUMAN"";interproscan_id=""IPR002297"";eggnog_id=""DNA_polymerase"""
NP_001120686,ACSF3,"Chr_14	AUGUSTUS	gene	23653008	23712377	.	-	.	ID=Marm_08070;blast_id=""sp|Q4G176|ACSF3_HUMAN"";interproscan_id=""IPR042099"";eggnog_id=""malonate_catabolic_process"""
NP_001120691,ACCS,"Chr_5	AUGUSTUS	gene	64662518	64691030	.	-	.	ID=Marm_23527;blast_id=""sp|Q96QU6|1A1L1_HUMAN"";interproscan_id=""IPR015424"";eggnog_id=""1-aminocyclopropane-1-carboxylate_synthase-like_protein_1"""
NP_001120701,AURKAIP1,"Chr_22	AUGUSTUS	gene	6321870	6326951	.	+	.	ID=Marm_16027;blast_id=""sp|Q9NWT8|AKIP_HUMAN"";interproscan_id=""IPR013177"";eggnog_id=""aurora_kinase"""
NP_001120702,AURKAIP1,"Chr_22	AUGUSTUS	gene	6321870	6326951	.	+	.	ID=Marm_16027;blast_id=""sp|Q9NWT8|AKIP_HUMAN"";interproscan_id=""IPR013177"";eggnog_id=""aurora_kinase"""
NP_001120800,ACADM,"Chr_3	AUGUSTUS	gene	81077752	81095316	.	+	.	ID=Marm_17397;blast_id=""sp|P11310|ACADM_HUMAN"";interproscan_id=""IPR034180"";eggnog_id=""acyl-CoA_dehydrogenase"""
NP_001120865,ATP5MPL,"Chr_5	AUGUSTUS	gene	14928674	14946277	.	+	.	ID=Marm_22324;eggnog_id=""Mitochondrial_proteolipid"""
NP_001120920,ABAT,"Chr_18	AUGUSTUS	gene	14850873	14881655	.	+	.	ID=Marm_09856;blast_id=""sp|P80404|GABT_HUMAN"";interproscan_id=""IPR005814"";eggnog_id=""4-aminobutyrate:2-oxoglutarate_transaminase_activity"""
NP_001120930,CRLS1,"Chr_1	AUGUSTUS	gene	141088620	141131882	.	+	.	ID=Marm_01116;blast_id=""sp|Q9UJA3|MCM8_HUMAN"";interproscan_id=""IPR031327"";eggnog_id=""DNA_replication_initiation"""
NP_001121132,MFN2,"Chr_22	AUGUSTUS	gene	9665898	9683099	.	+	.	ID=Marm_16082;blast_id=""sp|O95140|MFN2_HUMAN"";interproscan_id=""IPR027089"";eggnog_id=""parkin-mediated_stimulation_of_mitophagy_in_response_to_mitochondrial_depolarization"""
NP_001121164,PCCA,"Chr_1	AUGUSTUS	gene	184551864	184674915	.	+	.	ID=Marm_01383;blast_id=""sp|P05165|PCCA_HUMAN"";interproscan_id=""IPR011764"";eggnog_id=""carboxylase,_alpha"""
NP_001121188,ETFA,"Chr_16	AUGUSTUS	gene	825087	842514	.	-	.	ID=Marm_08902;blast_id=""sp|P13804|ETFA_HUMAN"";interproscan_id=""IPR001308"";eggnog_id=""fatty_acid_beta-oxidation_using_acyl-CoA_dehydrogenase"""
NP_001121773,LYRM1,"Chr_18	AUGUSTUS	gene	8505123	8509803	.	-	.	ID=Marm_10066;blast_id=""sp|O43325|LYRM1_HUMAN"";interproscan_id=""IPR040330"";eggnog_id=""Belongs_to_the_complex_I_LYR_family"""
NP_001121774,LYRM1,"Chr_18	AUGUSTUS	gene	8505123	8509803	.	-	.	ID=Marm_10066;blast_id=""sp|O43325|LYRM1_HUMAN"";interproscan_id=""IPR040330"";eggnog_id=""Belongs_to_the_complex_I_LYR_family"""
NP_001121895,MPV17L,"Chr_18	AUGUSTUS	gene	17958472	17961655	.	-	.	ID=Marm_10195;blast_id=""sp|Q2QL34|MP17L_HUMAN"";interproscan_id=""IPR007248"";eggnog_id=""Mpv17-like_protein"""
NP_001121897,MUTYH,"Chr_3	AUGUSTUS	gene	66086763	66098222	.	-	.	ID=Marm_19180;blast_id=""sp|Q9UIF7|MUTYH_HUMAN"";interproscan_id=""IPR044298"";eggnog_id=""purine-specific_mismatch_base_pair_DNA_N-glycosylase_activity"""
NP_001122103,DCAKD,"Chr_3	AUGUSTUS	gene	124534596	124544160	.	-	.	ID=Marm_19674;blast_id=""sp|Q8WVC6|DCAKD_HUMAN"";interproscan_id=""IPR027417"";eggnog_id=""dephospho-CoA_kinase_activity"""
NP_001122327,GTPBP3,"Chr_23	AUGUSTUS	gene	643812	648471	.	+	.	ID=Marm_16307;blast_id=""sp|Q969Y2|GTPB3_HUMAN"";interproscan_id=""IPR004520"";eggnog_id=""tRNA_modification"""
NP_001122387,CYP24A1,"Chr_3	AUGUSTUS	gene	19902439	19919598	.	+	.	ID=Marm_16853;blast_id=""sp|Q07973|CP24A_HUMAN"";interproscan_id=""IPR036396"";eggnog_id=""25-hydroxycholecalciferol-24-hydroxylase_activity"""
NP_001122388,TOMM40,"Chr_13	AUGUSTUS	gene	22867787	22882546	.	+	.	ID=Marm_07002;blast_id=""sp|O96008|TOM40_HUMAN"";interproscan_id=""IPR037930"";eggnog_id=""preprotein_binding"""
NP_001122389,TOMM40,"Chr_13	AUGUSTUS	gene	22867787	22882546	.	+	.	ID=Marm_07002;blast_id=""sp|O96008|TOM40_HUMAN"";interproscan_id=""IPR037930"";eggnog_id=""preprotein_binding"""
NP_001123291,CYB5R3,"Chr_7	AUGUSTUS	gene	11621313	11653774	.	-	.	ID=Marm_26407;blast_id=""sp|P00387|NB5R3_HUMAN"";interproscan_id=""IPR039261"";eggnog_id=""cytochrome-b5_reductase_activity,_acting_on_NAD(P)H"""
NP_001123514,CRYZ,"Chr_3	AUGUSTUS	gene	81550166	81569480	.	+	.	ID=Marm_17400;blast_id=""sp|Q08257|QOR_HUMAN"";interproscan_id=""IPR020843"";eggnog_id=""Zinc-binding_dehydrogenase"""
NP_001123515,CRYZ,"Chr_3	AUGUSTUS	gene	81550166	81569480	.	+	.	ID=Marm_17400;blast_id=""sp|Q08257|QOR_HUMAN"";interproscan_id=""IPR020843"";eggnog_id=""Zinc-binding_dehydrogenase"""
NP_001123561,KARS1,"Chr_14	AUGUSTUS	gene	24403808	24411438	.	-	.	ID=Marm_08083;blast_id=""sp|Q15046|SYK_HUMAN"";interproscan_id=""IPR034762"";eggnog_id=""lysyl-tRNA_synthetase"""
NP_001123882,ACAA1,"Chr_10	AUGUSTUS	gene	7146669	7163048	.	-	.	ID=Marm_04796;blast_id=""sp|P09110|THIK_HUMAN"";interproscan_id=""IPR002155"";eggnog_id=""Belongs_to_the_thiolase_family"""
NP_001123989,MPST,"Chr_7	AUGUSTUS	gene	62719747	62721757	.	-	.	ID=Marm_26745;blast_id=""sp|P25325|THTM_HUMAN"";interproscan_id=""IPR036873"";eggnog_id=""sulfurtransferase"""
NP_001124318,AIFM1,"Chr_15	AUGUSTUS	gene	5252851	5271285	.	+	.	ID=Marm_08142;blast_id=""sp|O95831|AIFM1_HUMAN"";interproscan_id=""IPR036188"";eggnog_id=""apoptosis-inducing_factor"""
NP_001124319,AIFM1,"Chr_15	AUGUSTUS	gene	5252851	5271285	.	+	.	ID=Marm_08142;blast_id=""sp|O95831|AIFM1_HUMAN"";interproscan_id=""IPR036188"";eggnog_id=""apoptosis-inducing_factor"""
NP_001127703,NT5DC2,"Chr_2	AUGUSTUS	gene	64420409	64457578	.	+	.	ID=Marm_11680;blast_id=""sp|Q9H857|NT5D2_HUMAN"";interproscan_id=""IPR016695"";eggnog_id=""5'-nucleotidase_activity"""
NP_001127956,TOMM5,"Chr_2	AUGUSTUS	gene	182614923	182623722	.	+	.	ID=Marm_12842;blast_id=""sp|Q8N4H5|TOM5_HUMAN"";interproscan_id=""IPR029179"";eggnog_id=""protein_targeting_to_mitochondrion"""
NP_001127957,TOMM5,"Chr_2	AUGUSTUS	gene	182614923	182623722	.	+	.	ID=Marm_12842;blast_id=""sp|Q8N4H5|TOM5_HUMAN"";interproscan_id=""IPR029179"";eggnog_id=""protein_targeting_to_mitochondrion"""
NP_001128142,HOGA1,"Chr_4	AUGUSTUS	gene	63408080	63418839	.	+	.	ID=Marm_20960;blast_id=""sp|Q86XE5|HOGA1_HUMAN"";interproscan_id=""IPR013785"";eggnog_id=""4-hydroxy-2-oxoglutarate_aldolase_activity"""
NP_001128179,SARDH,"Chr_20	AUGUSTUS	gene	7688610	7711327	.	-	.	ID=Marm_15434;blast_id=""sp|Q9UL12|SARDH_HUMAN"";interproscan_id=""IPR036188"";eggnog_id=""FAD_dependent_oxidoreductase_central_domain"""
NP_001128231,CRYZ,"Chr_3	AUGUSTUS	gene	81550166	81569480	.	+	.	ID=Marm_17400;blast_id=""sp|Q08257|QOR_HUMAN"";interproscan_id=""IPR020843"";eggnog_id=""Zinc-binding_dehydrogenase"""
NP_001128496,PDHX,"Chr_5	AUGUSTUS	gene	70135008	70178063	.	-	.	ID=Marm_23550;blast_id=""sp|O00330|ODPX_HUMAN"";interproscan_id=""IPR023213"";eggnog_id=""Pyruvate_dehydrogenase"""
NP_001128582,DNAJA3,"Chr_18	AUGUSTUS	gene	354100	361144	.	-	.	ID=Marm_09937;blast_id=""sp|Q96EY1|DNJA3_HUMAN"";interproscan_id=""IPR012724"";eggnog_id=""homolog_subfamily_A_member_3"""
NP_001129142,MSRA,Chr_1	AUGUSTUS	gene	4449655	4537562	.	+	.	ID=Marm_00070;
NP_001129143,MSRA,Chr_1	AUGUSTUS	gene	4449655	4537562	.	+	.	ID=Marm_00070;
NP_001129166,VDAC3,"Chr_12	AUGUSTUS	gene	6428615	6442801	.	-	.	ID=Marm_06478;blast_id=""sp|Q9Y277|VDAC3_HUMAN"";interproscan_id=""IPR023614"";eggnog_id=""Voltage-dependent_anion-selective_channel_protein"""
NP_001129293,FDPS,"Chr_19	AUGUSTUS	gene	11458163	11467340	.	-	.	ID=Marm_10700;blast_id=""sp|P14324|FPPS_HUMAN"";interproscan_id=""IPR008949"";eggnog_id=""dimethylallyltranstransferase_activity"""
NP_001129294,FDPS,"Chr_19	AUGUSTUS	gene	11458163	11467340	.	-	.	ID=Marm_10700;blast_id=""sp|P14324|FPPS_HUMAN"";interproscan_id=""IPR008949"";eggnog_id=""dimethylallyltranstransferase_activity"""
NP_001129335,ETFBKMT,"Chr_7	AUGUSTUS	gene	73378862	73384870	.	-	.	ID=Marm_26825;blast_id=""sp|Q8IXQ9|ETKMT_HUMAN"";interproscan_id=""IPR029063"";eggnog_id=""regulation_of_fatty_acid_beta-oxidation_using_acyl-CoA_dehydrogenase"""
NP_001129336,ETFBKMT,"Chr_7	AUGUSTUS	gene	73378862	73384870	.	-	.	ID=Marm_26825;blast_id=""sp|Q8IXQ9|ETKMT_HUMAN"";interproscan_id=""IPR029063"";eggnog_id=""regulation_of_fatty_acid_beta-oxidation_using_acyl-CoA_dehydrogenase"""
NP_001129470,NDUFB11,"Chr_2	AUGUSTUS	gene	163327618	163373401	.	-	.	ID=Marm_14683;blast_id=""sp|Q9NX14|NDUBB_HUMAN"";interproscan_id=""IPR019329"";eggnog_id=""mitochondrial_respiratory_chain_complex_I_assembly"""
NP_001129507,TRMT1,"Chr_2	AUGUSTUS	gene	110128518	110154144	.	+	.	ID=Marm_12059;blast_id=""sp|Q9NXH9|TRM1_HUMAN"";interproscan_id=""IPR002905"";eggnog_id=""tRNA_methyltransferase_1_homolog_(S._cerevisiae)"""
NP_001129511,NIF3L1,"Chr_11	AUGUSTUS	gene	36101416	36110262	.	-	.	ID=Marm_05926;blast_id=""sp|Q9GZT8|NIF3L_HUMAN"";interproscan_id=""IPR017222"";eggnog_id=""May_function_as_a_transcriptional_corepressor_through_its_interaction_with_COPS2,_negatively_regulating_the_expression_of_genes_involved_in_neuronal_differentiation"""
NP_001129524,CPT1C,"Chr_3	AUGUSTUS	gene	72474666	72485528	.	+	.	ID=Marm_17344;blast_id=""sp|P23786|CPT2_HUMAN"";interproscan_id=""IPR000542"";eggnog_id=""carnitine_O-palmitoyltransferase_activity"""
NP_001129665,FASTKD2,"Chr_11	AUGUSTUS	gene	32696777	32710172	.	-	.	ID=Marm_05887;blast_id=""sp|Q9NYY8|FAKD2_HUMAN"";interproscan_id=""IPR010622"";eggnog_id=""FAST_kinase"""
NP_001129666,FASTKD2,"Chr_11	AUGUSTUS	gene	32696777	32710172	.	-	.	ID=Marm_05887;blast_id=""sp|Q9NYY8|FAKD2_HUMAN"";interproscan_id=""IPR010622"";eggnog_id=""FAST_kinase"""
NP_001129673,ISOC2,"Chr_3	AUGUSTUS	gene	158833559	158873497	.	-	.	ID=Marm_20152;blast_id=""sp|P35580|MYH10_HUMAN"";interproscan_id=""IPR002928"";eggnog_id=""Myosin_N-terminal_SH3-like_domain"""
NP_001129674,ISOC2,"Chr_3	AUGUSTUS	gene	158833559	158873497	.	-	.	ID=Marm_20152;blast_id=""sp|P35580|MYH10_HUMAN"";interproscan_id=""IPR002928"";eggnog_id=""Myosin_N-terminal_SH3-like_domain"""
NP_001129970,CISD3,"Chr_3	AUGUSTUS	gene	138944922	138949197	.	-	.	ID=Marm_19838;blast_id=""sp|P0C7P0|CISD3_HUMAN"";interproscan_id=""IPR042216"";eggnog_id=""CDGSH_iron-sulfur_domain-containing_protein_3,_mitochondrial"""
NP_001130010,ACAD10,"Chr_17	AUGUSTUS	gene	18136374	18151656	.	+	.	ID=Marm_09379;blast_id=""sp|Q6JQN1|ACD10_HUMAN"";interproscan_id=""IPR011009"";eggnog_id=""Acyl-CoA_dehydrogenase_family_member_10"""
NP_001132982,ECHDC1,"Chr_1	AUGUSTUS	gene	83222592	83248686	.	+	.	ID=Marm_00685;blast_id=""sp|Q9NTX5|ECHD1_HUMAN"";interproscan_id=""IPR029045"";eggnog_id=""Enoyl-CoA_hydratase/isomerase"""
NP_001135827,NIF3L1,"Chr_11	AUGUSTUS	gene	36101416	36110262	.	-	.	ID=Marm_05926;blast_id=""sp|Q9GZT8|NIF3L_HUMAN"";interproscan_id=""IPR017222"";eggnog_id=""May_function_as_a_transcriptional_corepressor_through_its_interaction_with_COPS2,_negatively_regulating_the_expression_of_genes_involved_in_neuronal_differentiation"""
NP_001135828,NIF3L1,"Chr_11	AUGUSTUS	gene	36101416	36110262	.	-	.	ID=Marm_05926;blast_id=""sp|Q9GZT8|NIF3L_HUMAN"";interproscan_id=""IPR017222"";eggnog_id=""May_function_as_a_transcriptional_corepressor_through_its_interaction_with_COPS2,_negatively_regulating_the_expression_of_genes_involved_in_neuronal_differentiation"""
NP_001135858,PDK3,"Chr_1	AUGUSTUS	gene	211162138	211214669	.	+	.	ID=Marm_01561;blast_id=""sp|Q15120|PDK3_HUMAN"";interproscan_id=""IPR039028"";eggnog_id=""pyruvate_dehydrogenase_kinase,_isozyme_3"""
NP_001135870,FAHD1,"Chr_18	AUGUSTUS	gene	15614848	15615510	.	-	.	ID=Marm_10149;blast_id=""sp|Q6P587|FAHD1_HUMAN"";interproscan_id=""IPR036663"";eggnog_id=""fumarylacetoacetate_hydrolase_domain_containing_1"""
NP_001135877,PRELID3A,"Chr_6	AUGUSTUS	gene	46364384	46382202	.	-	.	ID=Marm_25079;blast_id=""sp|Q96N28|PLD3A_HUMAN"";interproscan_id=""IPR037365"";eggnog_id=""slowmo_homolog_1"""
NP_001135936,ECSIT,"Chr_2	AUGUSTUS	gene	172670147	172676552	.	+	.	ID=Marm_12730;blast_id=""sp|Q9BQ95|ECSIT_HUMAN"";interproscan_id=""IPR010418"";eggnog_id=""regulation_of_oxidoreductase_activity"""
NP_001135937,ECSIT,"Chr_2	AUGUSTUS	gene	172670147	172676552	.	+	.	ID=Marm_12730;blast_id=""sp|Q9BQ95|ECSIT_HUMAN"";interproscan_id=""IPR010418"";eggnog_id=""regulation_of_oxidoreductase_activity"""
NP_001135938,GPT2,"Chr_14	AUGUSTUS	gene	13877440	13911809	.	+	.	ID=Marm_07710;blast_id=""sp|Q8TD30|ALAT2_HUMAN"";interproscan_id=""IPR045088"";eggnog_id=""(alanine_aminotransferase)_2"""
NP_001135940,MTRES1,"Chr_1	AUGUSTUS	gene	93692032	93701968	.	-	.	ID=Marm_02810;blast_id=""sp|Q9P0P8|MRES1_HUMAN"";interproscan_id=""IPR039167"";eggnog_id=""Chromosome_6_open_reading_frame_203"""
NP_001135942,MTRES1,"Chr_1	AUGUSTUS	gene	93692032	93701968	.	-	.	ID=Marm_02810;blast_id=""sp|Q9P0P8|MRES1_HUMAN"";interproscan_id=""IPR039167"";eggnog_id=""Chromosome_6_open_reading_frame_203"""
NP_001136017,ADCK1,"Chr_5	AUGUSTUS	gene	33428331	33597839	.	-	.	ID=Marm_23285;blast_id=""sp|Q86TW2|ADCK1_HUMAN"";interproscan_id=""IPR000719"";eggnog_id=""protein_serine/threonine_kinase_activity"""
NP_001136019,RPUSD3,"Chr_2	AUGUSTUS	gene	24398518	24408607	.	-	.	ID=Marm_13583;blast_id=""sp|Q6P087|RUSD3_HUMAN"";interproscan_id=""IPR020103"";eggnog_id=""tRNA_pseudouridine_synthesis"""
NP_001136026,TRMT1,"Chr_2	AUGUSTUS	gene	110128518	110154144	.	+	.	ID=Marm_12059;blast_id=""sp|Q9NXH9|TRM1_HUMAN"";interproscan_id=""IPR002905"";eggnog_id=""tRNA_methyltransferase_1_homolog_(S._cerevisiae)"""
NP_001136027,COQ8B,"Chr_13	AUGUSTUS	gene	26132303	26142402	.	-	.	ID=Marm_07495;blast_id=""sp|Q8NI60|COQ8A_HUMAN"";interproscan_id=""IPR034646"";eggnog_id=""cerebellar_Purkinje_cell_layer_morphogenesis"""
NP_001136075,DELE1,"Chr_3	AUGUSTUS	gene	122409516	122436843	.	-	.	ID=Marm_19654;blast_id=""sp|Q14154|DELE1_HUMAN"";interproscan_id=""IPR011990"";eggnog_id=""Sel1-like_repeats."""
NP_001136116,SPHKAP,"Chr_4	AUGUSTUS	gene	81396077	81451117	.	-	.	ID=Marm_21901;blast_id=""sp|Q2M3C7|SPKAP_HUMAN"";interproscan_id=""IPR008382"";eggnog_id=""SPHK1_interactor,_AKAP_domain_containing"""
NP_001137146,MPC2,"Chr_1	AUGUSTUS	gene	242178432	242195162	.	-	.	ID=Marm_03709;blast_id=""sp|O95563|MPC2_HUMAN"";interproscan_id=""IPR005336"";eggnog_id=""Mitochondrial_pyruvate_carrier"""
NP_001137151,GSTK1,"Chr_2	AUGUSTUS	gene	184032470	184052395	.	+	.	ID=Marm_12863;blast_id=""sp|Q9Y2Q3|GSTK1_HUMAN"";interproscan_id=""IPR014440"";eggnog_id=""glutathione_peroxidase_activity"""
NP_001137152,GSTK1,"Chr_2	AUGUSTUS	gene	184032470	184052395	.	+	.	ID=Marm_12863;blast_id=""sp|Q9Y2Q3|GSTK1_HUMAN"";interproscan_id=""IPR014440"";eggnog_id=""glutathione_peroxidase_activity"""
NP_001137153,GSTK1,"Chr_2	AUGUSTUS	gene	184032470	184052395	.	+	.	ID=Marm_12863;blast_id=""sp|Q9Y2Q3|GSTK1_HUMAN"";interproscan_id=""IPR014440"";eggnog_id=""glutathione_peroxidase_activity"""
NP_001137252,SLC25A39,"Chr_3	AUGUSTUS	gene	132824570	132857567	.	-	.	ID=Marm_19773;blast_id=""sp|Q8TBP6|S2540_HUMAN"";interproscan_id=""IPR023395"";eggnog_id=""Solute_carrier_family_25_member"""
NP_001137311,PDE2A,Chr_1	AUGUSTUS	gene	286624163	286686482	.	-	.	ID=Marm_04048;
NP_001137377,C12orf65,"Chr_17	AUGUSTUS	gene	14412216	14418934	.	+	.	ID=Marm_09329;blast_id=""sp|Q9H3J6|MTRFR_HUMAN"";interproscan_id=""IPR000352"";eggnog_id=""peptide_chain_release_factor_C12orf65_homolog,_mitochondrial"""
NP_001137407,CROT,"Chr_3	AUGUSTUS	gene	72474666	72485528	.	+	.	ID=Marm_17344;blast_id=""sp|P23786|CPT2_HUMAN"";interproscan_id=""IPR000542"";eggnog_id=""carnitine_O-palmitoyltransferase_activity"""
NP_001137408,C15orf61,"Chr_16	AUGUSTUS	gene	23259731	23261997	.	+	.	ID=Marm_08857;blast_id=""sp|A6NNL5|CO061_HUMAN"";interproscan_id=""IPR029245"";eggnog_id=""Domain_of_unknown_function_(DUF4528)"""
NP_001137456,PTPMT1,"Chr_5	AUGUSTUS	gene	60050792	60057417	.	-	.	ID=Marm_23495;blast_id=""sp|Q8WUK0|PTPM1_HUMAN"";interproscan_id=""IPR042165"";eggnog_id=""Phosphatidylglycerophosphatase_and_protein-tyrosine_phosphatase_1"""
NP_001137468,OGDHL,Chr_4	AUGUSTUS	gene	14303307	14352415	.	-	.	ID=Marm_21441;
NP_001137469,OGDHL,Chr_4	AUGUSTUS	gene	14303307	14352415	.	-	.	ID=Marm_21441;
NP_001138299,RPUSD4,"Chr_12	AUGUSTUS	gene	27051663	27058034	.	+	.	ID=Marm_06357;blast_id=""sp|Q96CM3|RUSD4_HUMAN"";interproscan_id=""IPR020103"";eggnog_id=""RNA_pseudouridylate_synthase"""
NP_001138303,PHB2,"Chr_2	AUGUSTUS	gene	179094725	179103858	.	-	.	ID=Marm_14901;blast_id=""sp|Q99623|PHB2_HUMAN"";interproscan_id=""IPR000163"";eggnog_id=""prohibitin_2"""
NP_001138341,LIPT2,"Chr_1	AUGUSTUS	gene	285961988	285965263	.	+	.	ID=Marm_02052;blast_id=""sp|A6NK58|LIPT2_HUMAN"";interproscan_id=""IPR000544"";eggnog_id=""Biotin/lipoate_A/B_protein_ligase_family"""
NP_001138372,MIEF2,"Chr_18	AUGUSTUS	gene	1655344	1662868	.	-	.	ID=Marm_09964;blast_id=""sp|Q96C03|MID49_HUMAN"";interproscan_id=""IPR024810"";eggnog_id=""Mitochondrial_elongation_factor_2"""
NP_001138423,GLYCTK,"Chr_2	AUGUSTUS	gene	65651901	65665750	.	+	.	ID=Marm_11690;blast_id=""sp|Q8IVS8|GLCTK_HUMAN"";interproscan_id=""IPR039760"";eggnog_id=""glycerate_kinase_activity"""
NP_001138450,MTHFD2L,"Chr_12	AUGUSTUS	gene	742450	747338	.	+	.	ID=Marm_06110;blast_id=""sp|P13995|MTDC_HUMAN"";interproscan_id=""IPR000672"";eggnog_id=""methylenetetrahydrofolate_dehydrogenase"""
NP_001138606,CPT1B,"Chr_3	AUGUSTUS	gene	72474666	72485528	.	+	.	ID=Marm_17344;blast_id=""sp|P23786|CPT2_HUMAN"";interproscan_id=""IPR000542"";eggnog_id=""carnitine_O-palmitoyltransferase_activity"""
NP_001138607,CPT1B,"Chr_3	AUGUSTUS	gene	72474666	72485528	.	+	.	ID=Marm_17344;blast_id=""sp|P23786|CPT2_HUMAN"";interproscan_id=""IPR000542"";eggnog_id=""carnitine_O-palmitoyltransferase_activity"""
NP_001138608,CPT1B,"Chr_9	AUGUSTUS	gene	43504570	43516830	.	-	.	ID=Marm_29273;blast_id=""sp|P23786|CPT2_HUMAN"";interproscan_id=""IPR000542"";eggnog_id=""Choline/Carnitine_o-acyltransferase"""
NP_001138609,CPT1B,"Chr_3	AUGUSTUS	gene	72474666	72485528	.	+	.	ID=Marm_17344;blast_id=""sp|P23786|CPT2_HUMAN"";interproscan_id=""IPR000542"";eggnog_id=""carnitine_O-palmitoyltransferase_activity"""
NP_001138740,FAM185A,"Chr_7	AUGUSTUS	gene	14691156	14694987	.	+	.	ID=Marm_25676;blast_id=""sp|Q8N0U4|F185A_HUMAN"";interproscan_id=""PTHR34094"";eggnog_id=""Family_with_sequence_similarity_185,_member_A"""
NP_001138741,FAM185A,Chr_7	AUGUSTUS	gene	14706129	14749727	.	+	.	ID=Marm_25677;
NP_001138836,ABHD11,"Chr_21	AUGUSTUS	gene	6283476	6288712	.	+	.	ID=Marm_15643;blast_id=""sp|Q8NFV4|ABHDB_HUMAN"";interproscan_id=""IPR029058"";eggnog_id=""hydrolase_activity"""
NP_001138863,OXSM,"Chr_10	AUGUSTUS	gene	44855388	44858864	.	+	.	ID=Marm_04466;blast_id=""sp|Q9NWU1|OXSM_HUMAN"";interproscan_id=""IPR020841"";eggnog_id=""3-oxoacyl-_acyl-carrier-protein_synthase"""
NP_001138888,TMEM205,"Chr_2	AUGUSTUS	gene	168217898	168227905	.	+	.	ID=Marm_12675;blast_id=""sp|Q6UW68|TM205_HUMAN"";interproscan_id=""IPR042623"";eggnog_id=""Domain_of_unknown_function_(DUF4149)"""
